train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
386.986083984375,0,4,,,,,,
,0,5,145063.59375,237.68524169921875,,,,
,0,5,,,715415.25,561.4573364257812,,
273.8438720703125,1,9,,,,,,
,1,11,131679.796875,236.43270874023438,,,,
,1,11,,,160950.921875,255.31129455566406,,
172.90914916992188,2,14,,,,,,
,2,17,134666.875,236.62631225585938,,,,
,2,17,,,178127.140625,260.60455322265625,,
275.8006591796875,3,19,,,,,,
,3,23,123138.7734375,243.05517578125,,,,
,3,23,,,166257.6875,257.443359375,,
225.44509887695312,4,24,,,,,,
307.94244384765625,4,29,,,,,,
,4,29,122530.0546875,245.79354858398438,,,,
,4,29,,,163028.0625,257.68463134765625,,
220.17564392089844,5,34,,,,,,
,5,35,165144.515625,297.5544128417969,,,,
,5,35,,,150444.046875,255.8125457763672,,
326.6078186035156,6,39,,,,,,
,6,41,126539.5,259.1667175292969,,,,
,6,41,,,169398.0625,284.8157043457031,,
223.18585205078125,7,44,,,,,,
,7,47,159280.609375,270.1218566894531,,,,
,7,47,,,144211.46875,254.5436553955078,,
255.69473266601562,8,49,,,,,,
,8,53,142677.765625,258.9345397949219,,,,
,8,53,,,140675.828125,247.3400421142578,,
233.9203338623047,9,54,,,,,,
291.3975830078125,9,59,,,,,,
,9,59,124864.296875,257.60107421875,,,,
,9,59,,,149062.59375,253.37557983398438,,
200.06739807128906,10,64,,,,,,
,10,65,137412.390625,254.96510314941406,,,,
,10,65,,,122147.875,233.36814880371094,,
241.26280212402344,11,69,,,,,,
,11,71,151734.265625,265.90435791015625,,,,
,11,71,,,140882.75,240.98260498046875,,
233.3733367919922,12,74,,,,,,
,12,77,161223.5,303.43487548828125,,,,
,12,77,,,155584.390625,262.3018493652344,,
304.5100402832031,13,79,,,,,,
,13,83,131061.03125,249.78842163085938,,,,
,13,83,,,173899.9375,272.5399475097656,,
260.7254638671875,14,84,,,,,,
364.27044677734375,14,89,,,,,,
,14,89,126509.6953125,250.2177276611328,,,,
,14,89,,,140669.828125,255.00746154785156,,
228.98231506347656,15,94,,,,,,
,15,95,130326.7421875,249.27548217773438,,,,
,15,95,,,147641.90625,253.429931640625,,
275.7938537597656,16,99,,,,,,
,16,101,121073.546875,249.176513671875,,,,
,16,101,,,153676.65625,257.9370422363281,,
234.0935516357422,17,104,,,,,,
,17,107,130414.6796875,251.43641662597656,,,,
,17,107,,,136450.28125,246.55535888671875,,
186.2970428466797,18,109,,,,,,
,18,113,129382.15625,267.25732421875,,,,
,18,113,,,154907.15625,258.53179931640625,,
324.2638244628906,19,114,,,,,,
274.8932800292969,19,119,,,,,,
,19,119,146897.65625,286.56378173828125,,,,
,19,119,,,119403.359375,241.43136596679688,,
188.0537567138672,20,124,,,,,,
,20,125,124054.1171875,247.76048278808594,,,,
,20,125,,,143236.875,257.5712585449219,,
205.62887573242188,21,129,,,,,,
,21,131,138248.453125,256.20233154296875,,,,
,21,131,,,134268.859375,242.569091796875,,
216.28524780273438,22,134,,,,,,
,22,137,121848.4296875,256.43402099609375,,,,
,22,137,,,130172.4921875,240.00704956054688,,
199.2903594970703,23,139,,,,,,
,23,143,144425.25,289.4535217285156,,,,
,23,143,,,141140.609375,241.2065887451172,,
258.863037109375,24,144,,,,,,
316.63226318359375,24,149,,,,,,
,24,149,117662.6015625,249.48228454589844,,,,
,24,149,,,139438.296875,255.2156219482422,,
251.430419921875,25,154,,,,,,
,25,155,129531.3046875,247.48475646972656,,,,
,25,155,,,115766.421875,235.7288360595703,,
181.1637420654297,26,159,,,,,,
,26,161,122594.3203125,255.49559020996094,,,,
,26,161,,,116741.78125,229.23239135742188,,
332.54754638671875,27,164,,,,,,
,27,167,120526.8046875,239.74639892578125,,,,
,27,167,,,165156.515625,279.3208923339844,,
216.4071044921875,28,169,,,,,,
,28,173,117155.1796875,240.08641052246094,,,,
,28,173,,,129157.2109375,236.5336151123047,,
263.6079406738281,29,174,,,,,,
207.1940460205078,29,179,,,,,,
,29,179,118071.2421875,237.91302490234375,,,,
,29,179,,,126243.84375,233.0614013671875,,
277.3965148925781,30,184,,,,,,
,30,185,113508.8671875,242.18682861328125,,,,
,30,185,,,110427.6953125,234.91973876953125,,
309.783203125,31,189,,,,,,
,31,191,115129.6484375,238.96990966796875,,,,
,31,191,,,157835.640625,262.1488342285156,,
278.0100402832031,32,194,,,,,,
,32,197,126245.8515625,246.5437469482422,,,,
,32,197,,,130559.3828125,232.61753845214844,,
220.89572143554688,33,199,,,,,,
