valid_loss,valid_accuracy,epoch,step,train_loss,train_accuracy_epoch,train_accuracy_step,test_loss,test_accuracy
0.3251464366912842,0.8865000009536743,0,44,,,,,
,,0,44,0.11655772477388382,0.959782600402832,,,
,,1,49,,,0.982421875,,
0.33774369955062866,0.8870000243186951,1,89,,,,,
,,1,89,0.10091050714254379,0.9674347639083862,,,
,,2,99,,,0.984375,,
0.3636752665042877,0.8884999752044678,2,134,,,,,
,,2,134,0.07990864664316177,0.9768260717391968,,,
,,3,149,,,0.98828125,,
0.3961535394191742,0.8794999718666077,3,179,,,,,
,,3,179,0.06654603779315948,0.9816522002220154,,,
,,4,199,,,0.994140625,,
0.45834729075431824,0.871999979019165,4,224,,,,,
,,4,224,0.05606752634048462,0.9865217208862305,,,
,,5,249,,,0.994140625,,
0.4610784351825714,0.8755000233650208,5,269,,,,,
,,5,269,0.04482283443212509,0.9899564981460571,,,
,,6,299,,,0.994140625,,
0.49599337577819824,0.8705000281333923,6,314,,,,,
,,6,314,0.03501491621136665,0.9937825798988342,,,
,,7,349,,,0.9921875,,
0.514667272567749,0.8740000128746033,7,359,,,,,
,,7,359,0.049133576452732086,0.9862173795700073,,,
,,8,399,,,0.994140625,,
0.5442235469818115,0.8734999895095825,8,404,,,,,
,,8,404,0.024033011868596077,0.9963043332099915,,,
,,9,449,,,0.9978813529014587,,
0.5701321363449097,0.8734999895095825,9,449,,,,,
,,9,449,0.01881893165409565,0.9975217580795288,,,
0.5986927151679993,0.8709999918937683,10,494,,,,,
,,10,494,0.015357564203441143,0.998347818851471,,,
,,11,499,,,0.998046875,,
0.6276432871818542,0.8715000152587891,11,539,,,,,
,,11,539,0.012452637776732445,0.9988260865211487,,,
,,12,549,,,1.0,,
0.6630925536155701,0.8694999814033508,12,584,,,,,
,,12,584,0.009783369489014149,0.9992608428001404,,,
,,13,599,,,1.0,,
0.6989332437515259,0.8665000200271606,13,629,,,,,
,,13,629,0.007652271538972855,0.999478280544281,,,
,,14,649,,,1.0,,
0.7433158755302429,0.8669999837875366,14,674,,,,,
,,14,674,0.005925574339926243,0.9996086955070496,,,
,,15,699,,,1.0,,
0.7896350026130676,0.8659999966621399,15,719,,,,,
,,15,719,0.004584245849400759,0.9996956586837769,,,
,,16,749,,,0.998046875,,
0.8432888984680176,0.8640000224113464,16,764,,,,,
,,16,764,0.0035133135970681906,0.9997826218605042,,,
,,17,799,,,1.0,,
0.8693714141845703,0.8629999756813049,17,809,,,,,
,,17,809,0.002598535967990756,0.9998260736465454,,,
,,18,849,,,1.0,,
0.9088314175605774,0.8615000247955322,18,854,,,,,
,,18,854,0.0017159911803901196,0.9999565482139587,,,
,,19,899,,,1.0,,
0.9504068493843079,0.8604999780654907,19,899,,,,,
,,19,899,0.0012517354916781187,0.9999565482139587,,,
0.9948198199272156,0.8610000014305115,20,944,,,,,
,,20,944,0.0009492245735600591,0.9999565482139587,,,
,,21,949,,,1.0,,
1.0403083562850952,0.8604999780654907,21,989,,,,,
,,21,989,0.0007216922822408378,0.9999565482139587,,,
,,22,999,,,1.0,,
1.089935302734375,0.859000027179718,22,1034,,,,,
,,22,1034,0.0005316997994668782,0.9999565482139587,,,
,,23,1049,,,1.0,,
1.1296862363815308,0.8600000143051147,23,1079,,,,,
,,23,1079,0.0003936036955565214,1.0,,,
,,24,1099,,,1.0,,
1.177968144416809,0.8585000038146973,24,1124,,,,,
,,24,1124,0.0002921476843766868,1.0,,,
,,25,1149,,,1.0,,
1.217915654182434,0.8579999804496765,25,1169,,,,,
,,25,1169,0.00022077809262555093,1.0,,,
,,26,1199,,,1.0,,
1.2647593021392822,0.8560000061988831,26,1214,,,,,
,,26,1214,0.0001656427775742486,1.0,,,
,,27,1249,,,1.0,,
1.3061695098876953,0.8579999804496765,27,1259,,,,,
,,27,1259,0.00012661382788792253,1.0,,,
,,28,1299,,,1.0,,
1.3497503995895386,0.8569999933242798,28,1304,,,,,
,,28,1304,9.51592592173256e-05,1.0,,,
,,29,1349,,,1.0,,
1.391331434249878,0.8565000295639038,29,1349,,,,,
,,29,1349,7.298063428606838e-05,1.0,,,
,,30,1350,,,,1.4336767196655273,0.8487600088119507
