train_accuracy_step,epoch,step,valid_loss,valid_accuracy,train_loss,train_accuracy_epoch,test_loss,test_accuracy
0.0,0,49,,,,,,
0.015625,0,99,,,,,,
0.0078125,0,149,,,,,,
0.0625,0,199,,,,,,
0.0546875,0,249,,,,,,
0.046875,0,299,,,,,,
,0,312,4.054169654846191,0.06289999932050705,,,,
,0,312,,,4.309659957885742,0.03720000013709068,,
0.0703125,1,349,,,,,,
0.09375,1,399,,,,,,
0.0390625,1,449,,,,,,
0.1171875,1,499,,,,,,
0.125,1,549,,,,,,
0.171875,1,599,,,,,,
,1,625,3.575684070587158,0.14229999482631683,,,,
,1,625,,,3.8253536224365234,0.09974999725818634,,
0.1640625,2,649,,,,,,
0.1484375,2,699,,,,,,
0.1796875,2,749,,,,,,
0.1328125,2,799,,,,,,
0.1328125,2,849,,,,,,
0.1953125,2,899,,,,,,
,2,938,3.329223394393921,0.193900004029274,,,,
,2,938,,,3.5010616779327393,0.1580750048160553,,
0.1796875,3,949,,,,,,
0.1953125,3,999,,,,,,
0.1484375,3,1049,,,,,,
0.25,3,1099,,,,,,
0.2578125,3,1149,,,,,,
0.2578125,3,1199,,,,,,
0.234375,3,1249,,,,,,
,3,1251,3.0415868759155273,0.23890000581741333,,,,
,3,1251,,,3.2254645824432373,0.2106499969959259,,
0.2734375,4,1299,,,,,,
0.2578125,4,1349,,,,,,
0.296875,4,1399,,,,,,
0.3125,4,1449,,,,,,
0.2578125,4,1499,,,,,,
0.2890625,4,1549,,,,,,
,4,1564,3.0862174034118652,0.23639999330043793,,,,
,4,1564,,,3.017066717147827,0.24882499873638153,,
0.2578125,5,1599,,,,,,
0.328125,5,1649,,,,,,
0.25,5,1699,,,,,,
0.3203125,5,1749,,,,,,
0.3515625,5,1799,,,,,,
0.359375,5,1849,,,,,,
,5,1877,2.7884440422058105,0.29499998688697815,,,,
,5,1877,,,2.859400749206543,0.2786499857902527,,
0.3046875,6,1899,,,,,,
0.234375,6,1949,,,,,,
0.3515625,6,1999,,,,,,
0.2890625,6,2049,,,,,,
0.359375,6,2099,,,,,,
0.3359375,6,2149,,,,,,
,6,2190,2.861445426940918,0.2897000014781952,,,,
,6,2190,,,2.7120561599731445,0.30682501196861267,,
0.359375,7,2199,,,,,,
0.3515625,7,2249,,,,,,
0.328125,7,2299,,,,,,
0.3984375,7,2349,,,,,,
0.3046875,7,2399,,,,,,
0.2890625,7,2449,,,,,,
0.34375,7,2499,,,,,,
,7,2503,2.675896167755127,0.32600000500679016,,,,
,7,2503,,,2.58734130859375,0.33272498846054077,,
0.265625,8,2549,,,,,,
0.2578125,8,2599,,,,,,
0.359375,8,2649,,,,,,
0.3359375,8,2699,,,,,,
0.328125,8,2749,,,,,,
0.3515625,8,2799,,,,,,
,8,2816,2.5509305000305176,0.34790000319480896,,,,
,8,2816,,,2.4713916778564453,0.3585500121116638,,
0.3671875,9,2849,,,,,,
0.359375,9,2899,,,,,,
0.3671875,9,2949,,,,,,
0.3125,9,2999,,,,,,
0.3828125,9,3049,,,,,,
0.3984375,9,3099,,,,,,
,9,3129,2.4801387786865234,0.365200012922287,,,,
,9,3129,,,2.357043981552124,0.3810499906539917,,
0.421875,10,3149,,,,,,
0.4453125,10,3199,,,,,,
0.328125,10,3249,,,,,,
0.34375,10,3299,,,,,,
0.4453125,10,3349,,,,,,
0.3984375,10,3399,,,,,,
,10,3442,2.4329535961151123,0.3749000132083893,,,,
,10,3442,,,2.261630058288574,0.3954249918460846,,
0.4609375,11,3449,,,,,,
0.46875,11,3499,,,,,,
0.359375,11,3549,,,,,,
0.3671875,11,3599,,,,,,
0.4296875,11,3649,,,,,,
0.421875,11,3699,,,,,,
0.484375,11,3749,,,,,,
,11,3755,2.455479383468628,0.3693999946117401,,,,
,11,3755,,,2.1708550453186035,0.4201500117778778,,
0.5,12,3799,,,,,,
0.4921875,12,3849,,,,,,
0.4375,12,3899,,,,,,
0.375,12,3949,,,,,,
0.4296875,12,3999,,,,,,
0.4609375,12,4049,,,,,,
,12,4068,2.296994924545288,0.4059999883174896,,,,
,12,4068,,,2.0748801231384277,0.4372749924659729,,
0.4765625,13,4099,,,,,,
0.3984375,13,4149,,,,,,
0.4609375,13,4199,,,,,,
0.4453125,13,4249,,,,,,
0.4375,13,4299,,,,,,
0.484375,13,4349,,,,,,
,13,4381,2.537006139755249,0.3732999861240387,,,,
,13,4381,,,1.9999632835388184,0.4536750018596649,,
0.53125,14,4399,,,,,,
0.484375,14,4449,,,,,,
0.453125,14,4499,,,,,,
0.4921875,14,4549,,,,,,
0.4921875,14,4599,,,,,,
0.5078125,14,4649,,,,,,
,14,4694,2.3571207523345947,0.39879998564720154,,,,
,14,4694,,,1.91573166847229,0.47392499446868896,,
0.5234375,15,4699,,,,,,
0.5625,15,4749,,,,,,
0.5546875,15,4799,,,,,,
0.5,15,4849,,,,,,
0.5,15,4899,,,,,,
0.46875,15,4949,,,,,,
0.4375,15,4999,,,,,,
,15,5007,2.282625675201416,0.40700000524520874,,,,
,15,5007,,,1.8377089500427246,0.49072501063346863,,
0.4765625,16,5049,,,,,,
0.4765625,16,5099,,,,,,
0.515625,16,5149,,,,,,
0.46875,16,5199,,,,,,
0.53125,16,5249,,,,,,
0.4765625,16,5299,,,,,,
,16,5320,2.288616895675659,0.415800005197525,,,,
,16,5320,,,1.7734977006912231,0.5055500268936157,,
0.5390625,17,5349,,,,,,
0.59375,17,5399,,,,,,
0.4921875,17,5449,,,,,,
0.5546875,17,5499,,,,,,
0.4921875,17,5549,,,,,,
0.4765625,17,5599,,,,,,
,17,5633,2.409575939178467,0.40230000019073486,,,,
,17,5633,,,1.7035003900527954,0.5216749906539917,,
0.5625,18,5649,,,,,,
0.515625,18,5699,,,,,,
0.5390625,18,5749,,,,,,
0.5078125,18,5799,,,,,,
0.453125,18,5849,,,,,,
0.515625,18,5899,,,,,,
,18,5946,2.3916754722595215,0.4077000021934509,,,,
,18,5946,,,1.6425261497497559,0.5335000157356262,,
0.5703125,19,5949,,,,,,
0.4921875,19,5999,,,,,,
0.515625,19,6049,,,,,,
0.53125,19,6099,,,,,,
0.5546875,19,6149,,,,,,
0.578125,19,6199,,,,,,
0.546875,19,6249,,,,,,
,19,6259,2.451420783996582,0.4009999930858612,,,,
,19,6259,,,1.566190242767334,0.5539000034332275,,
0.5703125,20,6299,,,,,,
0.6171875,20,6349,,,,,,
0.5546875,20,6399,,,,,,
0.6484375,20,6449,,,,,,
0.53125,20,6499,,,,,,
0.5390625,20,6549,,,,,,
,20,6572,2.3136887550354004,0.4147999882698059,,,,
,20,6572,,,1.5094014406204224,0.566474974155426,,
0.5859375,21,6599,,,,,,
0.703125,21,6649,,,,,,
0.5390625,21,6699,,,,,,
0.4765625,21,6749,,,,,,
0.5859375,21,6799,,,,,,
0.5546875,21,6849,,,,,,
,21,6885,2.3792202472686768,0.4203999936580658,,,,
,21,6885,,,1.455926537513733,0.5811750292778015,,
0.53125,22,6899,,,,,,
0.6796875,22,6949,,,,,,
0.5546875,22,6999,,,,,,
0.5234375,22,7049,,,,,,
0.6875,22,7099,,,,,,
0.6171875,22,7149,,,,,,
,22,7198,2.2990663051605225,0.43149998784065247,,,,
,22,7198,,,1.4052542448043823,0.5916500091552734,,
0.640625,23,7199,,,,,,
0.6015625,23,7249,,,,,,
0.609375,23,7299,,,,,,
0.609375,23,7349,,,,,,
0.625,23,7399,,,,,,
0.5625,23,7449,,,,,,
0.5390625,23,7499,,,,,,
,23,7511,2.386875629425049,0.4223000109195709,,,,
,23,7511,,,1.350926160812378,0.6042749881744385,,
0.6484375,24,7549,,,,,,
0.609375,24,7599,,,,,,
0.6640625,24,7649,,,,,,
0.6640625,24,7699,,,,,,
0.703125,24,7749,,,,,,
0.6328125,24,7799,,,,,,
,24,7824,2.290524482727051,0.4307999908924103,,,,
,24,7824,,,1.310662865638733,0.6183249950408936,,
0.6171875,25,7849,,,,,,
0.6796875,25,7899,,,,,,
0.5390625,25,7949,,,,,,
0.6953125,25,7999,,,,,,
0.6015625,25,8049,,,,,,
0.6484375,25,8099,,,,,,
,25,8137,2.4248225688934326,0.414000004529953,,,,
,25,8137,,,1.2605352401733398,0.6273249983787537,,
0.609375,26,8149,,,,,,
0.59375,26,8199,,,,,,
0.640625,26,8249,,,,,,
0.5390625,26,8299,,,,,,
0.6015625,26,8349,,,,,,
0.6484375,26,8399,,,,,,
0.609375,26,8449,,,,,,
,26,8450,2.402360439300537,0.42820000648498535,,,,
,26,8450,,,1.2229641675949097,0.6359750032424927,,
0.65625,27,8499,,,,,,
0.671875,27,8549,,,,,,
0.6484375,27,8599,,,,,,
0.6328125,27,8649,,,,,,
0.59375,27,8699,,,,,,
0.578125,27,8749,,,,,,
,27,8763,2.4563915729522705,0.4235000014305115,,,,
,27,8763,,,1.1800535917282104,0.6486750245094299,,
0.7109375,28,8799,,,,,,
0.625,28,8849,,,,,,
0.625,28,8899,,,,,,
0.71875,28,8949,,,,,,
0.640625,28,8999,,,,,,
