valid_loss,valid_accuracy,epoch,step,train_loss,train_accuracy_epoch,train_accuracy_step
0.3090023398399353,0.8895000219345093,0,44,,,
,,0,44,0.43958598375320435,0.8146086931228638,
,,1,49,,,0.943359375
0.27462202310562134,0.8960000276565552,1,89,,,
,,1,89,0.23427438735961914,0.9189565181732178,
,,2,99,,,0.943359375
0.2807118892669678,0.8939999938011169,2,134,,,
,,2,134,0.18073683977127075,0.9372608661651611,
